ACRONYM, DEFINITION, OPTIONAL-LINK
TAZ, Traffic Analysis Zone, /topics/Traffic_Analysis_Zone
TFR, Travel Forecasting Resource, /topics/Big_Picture
TRB, Transportation Research Board, https://www.trb.org
ABM, Activity-Based Models, /topics/Activity_based_models
