ACRONYM, DEFINITION, OPTIONAL-LINK
TAZ, Traffic Analysis Zone, /topics/Traffic_Analysis_Zone
TFR, Travel Forecasting Resource, /topics/Big_Picture
TRB, Transportation Research Board, https://www.trb.org
ABM, Activity-Based Models, /topics/Activity_based_models
FAF, Freight Analysis Framework, https://faf.ornl.gov/faf5/
PCE, Passenger Car Equivalen, https://en.wikipedia.org/wiki/Passenger_car_equivalent
